,brewery_name,address,brewery_page_url,list_order,page_num
113,Local Group Brewing,"1501 Chapman Houston TX 77009, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de9496826,,1
114,Location Six Brewing Company,"2316 Main Street Waller TX 77484, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/61213b8e17c4b61d967dbd53,,1
115,Lone Pint Brewery,"507 Commerce St Magnolia TX 77355, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9345a0c0621573706e,,1
116,"Longtab Brewing Company, LLC","4700 Timco W Suite 105 San Antonio TX 78238, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de949678a,,1
117,Mad Pecker Brewing Co.,"6025 Tezel Rd. #122 San Antonio TX 78250, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de9496776,,1
118,Martin House Brewing Company,"220 South Sylvania Ave., Suite 209 Forth Worth Texas 76107",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496786,,1
119,Meanwhile Brewing Company,"3901 Promontory Point Dr Austin TX 78744, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967f8,,1
120,Neutral Ground Brewing Company,"2929 Race St Fort Worth TX 76111, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967e9,,1
121,New Magnolia Brewing Co,"1616 Bevis St Houston TX 77008, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de949681e,,1
122,No Label Brewing Co,"5351-A 1st Street Katy TX 77493, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967ae,,1
123,Nocona Beer & Brewery,915 E HWY 82 Nocona Texas 76255,https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de9496815,,1
124,Nomadic Beerworks,"3804 Woodbury Dr ste A Austin TX 78704, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de949682e,,1
125,Nueces Brewing Company,"15533 Cruiser St, Apt A Corpus Christi TX 78418, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de949677f,,1
126,ODD Muse Brewing Company,4488 Spring Valley Road Farmer's Branch Texas 75244,https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de9496807,,1
127,Oddwood Ales,"3108 Manor Rd. Austin TX 78723, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967e0,,1
128,Oil Horse Brewing Company,"101 W Tyler St Longview TX 75601, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9345a0c0621573706a,,1
129,Old 290 Brewery,"4064 West Us Highway 290 Johnson City TX 78636, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967c4,,1
130,On Rotation,"7701 Lemmon Ave, Suite 200 Dallas TX 75209, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967bc,,1
131,ONeil and Sons Brewing Company,"206 S Commerce St. Port Lavaca TX 77979, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/60915e476e4d896f6e4255b7,,1
132,Oskar Blues,"10420 Metric Blvd Ste 150 Austin TX 78758, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fca6211b343242e1b07b340,,1
133,Outfit Brewing,"7135 John Carpenter Frwy Dallas TX 75247, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967c1,,1
134,Panther Island Brewing,"501 N Main Fort Worth TX 76164, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de9496820,,1
135,Pecan Street Brewing,"P.O. Box 1504 Johnson City TX 78636, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9445a0c06215737072,,1
136,Pegasus City Brewery,"2222 Vantage Street Dallas TX 75207, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/601031a03eeb012b1403fcee,,1
137,Peticolas Brewing Company,"2026 Farrington Street Dallas TX 75207, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967d1,,1
138,Pint & Plow Brewing Company,"332 Clay St Kerrville TX 78028, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5faacbcd17fe9873ed218d98,,1
139,Pinthouse Pizza Burnet,"4729 Burnet Rd Austin TX 78756, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9345a0c0621573706b,,1
140,Pondaseta Brewing Co.,"7500 SW 45th Ave Amarillo TX 79119, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de9496823,,1
141,Rahr & Sons Brewing Company,"701 Galveston Ave Fort Worth TX 76104, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/60995d6f46ff2f2b461d576e,,1
142,Ranger Creek Distilling,"4834 Whirlwind Drive San Antonio TX 78217, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de94967a3,,1
